periodo;plazo_desde;plazo_hasta;cf
20130102;1;12;0.5400
20130102;13;24;0.5500
20130102;25;36;0.5700
20130102;37;48;0.5700
20130102;49;60;0.5700
20130102;61;72;0.5700
20130102;73;84;0.5700
20130102;85;96;0.5700
20130102;109;120;0.5700
20130102;133;144;0.5800
20130102;169;180;0.5800
20130103;1;12;0.5400
20130103;13;24;0.5500
20130103;25;36;0.5700
20130103;37;48;0.5700
20130103;49;60;0.5700
20130103;61;72;0.5700
20130103;73;84;0.5700
20130103;85;96;0.5700
20130103;109;120;0.5700
20130103;133;144;0.5800
20130103;169;180;0.5800
20130104;1;12;0.5400
20130104;13;24;0.5500
20130104;25;36;0.5700
20130104;37;48;0.5700
20130104;49;60;0.5700
20130104;61;72;0.5700
20130104;73;84;0.5700
20130104;85;96;0.5700
20130104;109;120;0.5700
20130104;133;144;0.5800
20130104;169;180;0.5800
20130107;1;12;0.5300
20130107;13;24;0.5400
20130107;25;36;0.5600
20130107;37;48;0.5700
20130107;49;60;0.5800
20130107;61;72;0.5800
20130107;73;84;0.5800
20130107;85;96;0.5900
20130107;109;120;0.5900
20130107;133;144;0.5900
20130107;169;180;0.5900
20130108;1;12;0.5300
20130108;13;24;0.5400
20130108;25;36;0.5600
20130108;37;48;0.5700
20130108;49;60;0.5800
20130108;61;72;0.5800
20130108;73;84;0.5800
20130108;85;96;0.5900
20130108;109;120;0.5900
20130108;133;144;0.5900
20130108;169;180;0.5900
20130109;1;12;0.5300
20130109;13;24;0.5400
20130109;25;36;0.5600
20130109;37;48;0.5700
20130109;49;60;0.5800
20130109;61;72;0.5800
20130109;73;84;0.5800
20130109;85;96;0.5900
20130109;109;120;0.5900
20130109;133;144;0.5900
20130109;169;180;0.5900
20130110;1;12;0.5300
20130110;13;24;0.5400
20130110;25;36;0.5600
20130110;37;48;0.5700
20130110;49;60;0.5800
20130110;61;72;0.5800
20130110;73;84;0.5800
20130110;85;96;0.5900
20130110;109;120;0.5900
20130110;133;144;0.5900
20130110;169;180;0.5900
20130111;1;12;0.5300
20130111;13;24;0.5400
20130111;25;36;0.5600
20130111;37;48;0.5700
20130111;49;60;0.5800
20130111;61;72;0.5800
20130111;73;84;0.5800
20130111;85;96;0.5900
20130111;109;120;0.5900
20130111;133;144;0.5900
20130111;169;180;0.5900
20130114;1;12;0.5300
20130114;13;24;0.5500
20130114;25;36;0.5700
20130114;37;48;0.5700
20130114;49;60;0.5800
20130114;61;72;0.5800
20130114;73;84;0.5900
20130114;85;96;0.5900
20130114;109;120;0.5900
20130114;133;144;0.5900
20130114;169;180;0.5900
20130115;1;12;0.5300
20130115;13;24;0.5500
20130115;25;36;0.5700
20130115;37;48;0.5700
20130115;49;60;0.5800
20130115;61;72;0.5800
20130115;73;84;0.5900
20130115;85;96;0.5900
