fecha,valor
2026-01-01,"39731,79"
2026-01-02,"39735,63"
2026-01-03,"39739,47"
2026-01-04,"39743,31"
2026-01-05,"39747,15"
2026-01-06,39751
2026-01-07,"39754,84"
2026-01-08,"39758,68"
2026-01-09,"39762,52"
2026-01-10,"39759,95"
2026-01-11,"39757,38"
2026-01-12,"39754,82"
2026-01-13,"39752,25"
2026-01-14,"39749,68"
2026-01-15,"39747,12"
2026-01-16,"39744,55"
2026-01-17,"39741,98"
2026-01-18,"39739,42"
2026-01-19,"39736,85"
2026-01-20,"39734,28"
2026-01-21,"39731,72"
2026-01-22,"39729,15"
2026-01-23,"39726,59"
2026-01-24,"39724,02"
2026-01-25,"39721,45"
2026-01-26,"39718,89"
2026-01-27,"39716,32"
2026-01-28,"39713,76"
2026-01-29,"39711,2"
2026-01-30,"39708,63"
2026-01-31,"39706,07"
2026-02-01,"39703,5"
2026-02-02,"39700,94"
2026-02-03,"39698,37"
2026-02-04,"39695,81"
2026-02-05,"39693,25"
2026-02-06,"39690,68"
2026-02-07,"39688,12"
2026-02-08,"39685,56"
2026-02-09,"39682,99"
2026-02-10,"39688,65"
2026-02-11,"39694,31"
2026-02-12,"39699,97"
2026-02-13,"39705,63"
2026-02-14,"39711,29"
2026-02-15,"39716,95"
2026-02-16,"39722,61"
2026-02-17,"39728,28"
2026-02-18,"39733,94"
2026-02-19,"39739,61"
2026-02-20,"39745,27"
2026-02-21,"39750,94"
2026-02-22,"39756,61"
2026-02-23,"39762,28"
2026-02-24,"39767,95"
2026-02-25,"39773,62"
2026-02-26,"39779,29"
2026-02-27,"39784,96"
2026-02-28,"39790,63"
2026-03-01,"39796,31"
2026-03-02,"39801,98"
2026-03-03,"39807,65"
2026-03-04,"39813,33"
2026-03-05,"39819,01"
2026-03-06,"39824,68"
2026-03-07,"39830,36"
2026-03-08,"39836,04"
2026-03-09,"39841,72"
2026-03-10,"39841,72"
2026-03-11,"39841,72"
2026-03-12,"39841,72"
2026-03-13,"39841,72"
2026-03-14,"39841,72"
2026-03-15,"39841,72"
2026-03-16,"39841,72"
2026-03-17,"39841,72"
2026-03-18,"39841,72"
2026-03-19,"39841,72"
2026-03-20,"39841,72"
2026-03-21,"39841,72"
2026-03-22,"39841,72"
2026-03-23,"39841,72"
2026-03-24,"39841,72"
2026-03-25,"39841,72"
2026-03-26,"39841,72"
2026-03-27,"39841,72"
2026-03-28,"39841,72"
2026-03-29,"39841,72"
2026-03-30,"39841,72"
2026-03-31,"39841,72"
2026-04-01,"39841,72"
2026-04-02,"39841,72"
2026-04-03,"39841,72"
2026-04-04,"39841,72"
2026-04-05,"39841,72"
2026-04-06,"39841,72"
2026-04-07,"39841,72"
2026-04-08,"39841,72"
2026-04-09,"39841,72"
